date,purchases,revenue,total_views,unique_invoices,unique_streams,year_month
2017-11-01,0,0.0,0.0,0,0,2017-11
2017-11-02,0,0.0,0.0,0,0,2017-11
2017-11-03,0,0.0,0.0,0,0,2017-11
2017-11-04,0,0.0,0.0,0,0,2017-11
2017-11-05,0,0.0,0.0,0,0,2017-11
2017-11-06,0,0.0,0.0,0,0,2017-11
2017-11-07,0,0.0,0.0,0,0,2017-11
2017-11-08,0,0.0,0.0,0,0,2017-11
2017-11-09,0,0.0,0.0,0,0,2017-11
2017-11-10,0,0.0,0.0,0,0,2017-11
2017-11-11,0,0.0,0.0,0,0,2017-11
2017-11-12,0,0.0,0.0,0,0,2017-11
2017-11-13,0,0.0,0.0,0,0,2017-11
2017-11-14,0,0.0,0.0,0,0,2017-11
2017-11-15,0,0.0,0.0,0,0,2017-11
2017-11-16,0,0.0,0.0,0,0,2017-11
2017-11-17,0,0.0,0.0,0,0,2017-11
2017-11-18,0,0.0,0.0,0,0,2017-11
2017-11-19,0,0.0,0.0,0,0,2017-11
2017-11-20,0,0.0,0.0,0,0,2017-11
2017-11-21,0,0.0,0.0,0,0,2017-11
2017-11-22,0,0.0,0.0,0,0,2017-11
2017-11-23,0,0.0,0.0,0,0,2017-11
2017-11-24,0,0.0,0.0,0,0,2017-11
2017-11-25,0,0.0,0.0,0,0,2017-11
2017-11-26,0,0.0,0.0,0,0,2017-11
2017-11-27,0,0.0,0.0,0,0,2017-11
2017-11-28,3223,14450.54,15047.0,166,1345,2017-11
2017-11-29,3277,13411.96,14159.0,133,1397,2017-11
2017-11-30,3002,13290.250000000002,15766.0,150,1335,2017-11
2017-12-01,2559,,12524.0,107,1256,2017-12
2017-12-02,402,,3313.0,32,287,2017-12
2017-12-03,1942,,8544.0,90,977,2017-12
2017-12-04,2869,,12751.0,123,1354,2017-12
2017-12-05,2440,,12604.0,170,1196,2017-12
2017-12-06,2470,,10510.0,114,1308,2017-12
2017-12-07,2492,,11985.0,123,1229,2017-12
2017-12-08,1542,,7922.0,121,876,2017-12
2017-12-09,0,0.0,0.0,0,0,2017-12
2017-12-10,1776,,8521.0,77,980,2017-12
2017-12-11,4117,,17017.0,122,1596,2017-12
2017-12-12,2004,,11127.0,123,1031,2017-12
2017-12-13,3216,,14280.0,106,1421,2017-12
2017-12-14,1965,,9505.0,162,1067,2017-12
2017-12-15,2057,,8973.0,84,1123,2017-12
2017-12-16,0,0.0,0.0,0,0,2017-12
2017-12-17,637,,4013.0,40,468,2017-12
2017-12-18,645,,3212.0,52,467,2017-12
2017-12-19,2053,,5218.0,203,1146,2017-12
2017-12-20,540,,3028.0,32,377,2017-12
2017-12-21,0,0.0,0.0,0,0,2017-12
2017-12-22,0,0.0,0.0,0,0,2017-12
2017-12-23,0,0.0,0.0,0,0,2017-12
2017-12-24,0,0.0,0.0,0,0,2017-12
2017-12-25,0,0.0,0.0,0,0,2017-12
2017-12-26,0,0.0,0.0,0,0,2017-12
2017-12-27,0,0.0,0.0,0,0,2017-12
2017-12-28,0,0.0,0.0,0,0,2017-12
2017-12-29,0,0.0,0.0,0,0,2017-12
2017-12-30,0,0.0,0.0,0,0,2017-12
2017-12-31,0,0.0,0.0,0,0,2017-12
2018-01-01,668,,,70,1,2018-01
2018-01-02,938,,,46,1,2018-01
2018-01-03,294,,,14,1,2018-01
2018-01-04,1065,,,87,1,2018-01
2018-01-05,719,,,49,1,2018-01
2018-01-06,0,0.0,0.0,0,0,2018-01
2018-01-07,704,,,37,1,2018-01
2018-01-08,2688,,,74,1,2018-01
2018-01-09,1107,,,65,1,2018-01
2018-01-10,1644,,,64,1,2018-01
2018-01-11,2230,,,87,1,2018-01
2018-01-12,662,,,53,1,2018-01
2018-01-13,0,0.0,0.0,0,0,2018-01
2018-01-14,1116,,,41,1,2018-01
2018-01-15,1908,,,50,1,2018-01
2018-01-16,1859,,,51,1,2018-01
2018-01-17,1224,,,80,1,2018-01
2018-01-18,1228,,,88,1,2018-01
2018-01-19,1520,,,77,1,2018-01
2018-01-20,0,0.0,0.0,0,0,2018-01
2018-01-21,1271,,,52,1,2018-01
2018-01-22,1699,,,72,1,2018-01
2018-01-23,1588,,,168,1,2018-01
2018-01-24,1560,,,85,1,2018-01
2018-01-25,1254,,,83,1,2018-01
2018-01-26,1209,,,82,1,2018-01
2018-01-27,0,0.0,0.0,0,0,2018-01
2018-01-28,1400,,,58,1,2018-01
2018-01-29,1399,,,82,1,2018-01
2018-01-30,1177,,,60,1,2018-01
2018-01-31,1551,,,150,1,2018-01
2018-02-01,1590,4837.9,,143,1,2018-02
2018-02-02,1077,4328.16,,147,1,2018-02
2018-02-03,0,0.0,0.0,0,0,2018-02
2018-02-04,844,2310.46,,35,1,2018-02
2018-02-05,1373,6838.370000000001,,75,1,2018-02
2018-02-06,1058,3607.21,,58,1,2018-02
2018-02-07,884,4111.6900000000005,,38,1,2018-02
2018-02-08,871,2901.15,,101,1,2018-02
2018-02-09,824,3009.97,,75,1,2018-02
2018-02-10,0,0.0,0.0,0,0,2018-02
2018-02-11,1194,3554.9900000000002,,51,1,2018-02
2018-02-12,899,5680.741,,55,1,2018-02
2018-02-13,1950,8022.7300000000005,,109,1,2018-02
2018-02-14,1050,3361.39,,64,1,2018-02
2018-02-15,1390,5028.67,,91,1,2018-02
2018-02-16,1634,7938.449999999999,,64,1,2018-02
2018-02-17,0,0.0,0.0,0,0,2018-02
2018-02-18,981,3367.131,,60,1,2018-02
2018-02-19,1156,3731.49,,86,1,2018-02
2018-02-20,1214,4217.94,,88,1,2018-02
2018-02-21,1390,5192.741,,123,1,2018-02
2018-02-22,1561,5217.1,,91,1,2018-02
2018-02-23,1028,7546.4310000000005,,65,1,2018-02
2018-02-24,0,0.0,0.0,0,0,2018-02
2018-02-25,1293,3960.79,,58,1,2018-02
2018-02-26,1230,4471.6,,97,1,2018-02
2018-02-27,1619,6904.31,,137,1,2018-02
2018-02-28,1763,6203.96,,84,1,2018-02
2018-03-01,1937,7608.820000000001,,102,1,2018-03
2018-03-02,1269,5063.21,,86,1,2018-03
2018-03-03,0,0.0,0.0,0,0,2018-03
2018-03-04,1802,6232.91,,67,1,2018-03
