date,purchases,revenue,total_views,unique_invoices,unique_streams,year_month
2017-11-01,0,0.0,0.0,0,0,2017-11
2017-11-02,0,0.0,0.0,0,0,2017-11
2017-11-03,0,0.0,0.0,0,0,2017-11
2017-11-04,0,0.0,0.0,0,0,2017-11
2017-11-05,0,0.0,0.0,0,0,2017-11
2017-11-06,0,0.0,0.0,0,0,2017-11
2017-11-07,0,0.0,0.0,0,0,2017-11
2017-11-08,0,0.0,0.0,0,0,2017-11
2017-11-09,0,0.0,0.0,0,0,2017-11
2017-11-10,0,0.0,0.0,0,0,2017-11
2017-11-11,0,0.0,0.0,0,0,2017-11
2017-11-12,0,0.0,0.0,0,0,2017-11
2017-11-13,0,0.0,0.0,0,0,2017-11
2017-11-14,0,0.0,0.0,0,0,2017-11
2017-11-15,0,0.0,0.0,0,0,2017-11
2017-11-16,0,0.0,0.0,0,0,2017-11
2017-11-17,0,0.0,0.0,0,0,2017-11
2017-11-18,0,0.0,0.0,0,0,2017-11
2017-11-19,0,0.0,0.0,0,0,2017-11
2017-11-20,0,0.0,0.0,0,0,2017-11
2017-11-21,0,0.0,0.0,0,0,2017-11
2017-11-22,0,0.0,0.0,0,0,2017-11
2017-11-23,0,0.0,0.0,0,0,2017-11
2017-11-24,0,0.0,0.0,0,0,2017-11
2017-11-25,0,0.0,0.0,0,0,2017-11
2017-11-26,0,0.0,0.0,0,0,2017-11
2017-11-27,0,0.0,0.0,0,0,2017-11
2017-11-28,86,375.99000000000007,545.0,3,83,2017-11
2017-11-29,0,0.0,0.0,0,0,2017-11
2017-11-30,33,194.22,192.0,1,33,2017-11
2017-12-01,0,0.0,0.0,0,0,2017-12
2017-12-02,0,0.0,0.0,0,0,2017-12
2017-12-03,0,0.0,0.0,0,0,2017-12
2017-12-04,64,,403.0,4,61,2017-12
2017-12-05,30,,255.0,5,30,2017-12
2017-12-06,0,0.0,0.0,0,0,2017-12
2017-12-07,19,,104.0,1,19,2017-12
2017-12-08,2,,7.0,2,2,2017-12
2017-12-09,0,0.0,0.0,0,0,2017-12
2017-12-10,14,,126.0,1,14,2017-12
2017-12-11,5,,7.0,1,5,2017-12
2017-12-12,100,,733.0,2,89,2017-12
2017-12-13,49,,359.0,1,49,2017-12
2017-12-14,2,,1.0,2,1,2017-12
2017-12-15,156,,1132.0,5,134,2017-12
2017-12-16,0,0.0,0.0,0,0,2017-12
2017-12-17,1,,0.0,1,1,2017-12
2017-12-18,35,,408.0,1,35,2017-12
2017-12-19,0,0.0,0.0,0,0,2017-12
2017-12-20,0,0.0,0.0,0,0,2017-12
2017-12-21,0,0.0,0.0,0,0,2017-12
2017-12-22,0,0.0,0.0,0,0,2017-12
2017-12-23,0,0.0,0.0,0,0,2017-12
2017-12-24,0,0.0,0.0,0,0,2017-12
2017-12-25,0,0.0,0.0,0,0,2017-12
2017-12-26,0,0.0,0.0,0,0,2017-12
2017-12-27,0,0.0,0.0,0,0,2017-12
2017-12-28,0,0.0,0.0,0,0,2017-12
2017-12-29,0,0.0,0.0,0,0,2017-12
2017-12-30,0,0.0,0.0,0,0,2017-12
2017-12-31,0,0.0,0.0,0,0,2017-12
2018-01-01,2,,,1,1,2018-01
2018-01-02,0,0.0,0.0,0,0,2018-01
2018-01-03,0,0.0,0.0,0,0,2018-01
2018-01-04,163,,,5,1,2018-01
2018-01-05,33,,,4,1,2018-01
2018-01-06,0,0.0,0.0,0,0,2018-01
2018-01-07,0,0.0,0.0,0,0,2018-01
2018-01-08,1,,,1,1,2018-01
2018-01-09,0,0.0,0.0,0,0,2018-01
2018-01-10,3,,,3,1,2018-01
2018-01-11,0,0.0,0.0,0,0,2018-01
2018-01-12,0,0.0,0.0,0,0,2018-01
2018-01-13,0,0.0,0.0,0,0,2018-01
2018-01-14,0,0.0,0.0,0,0,2018-01
2018-01-15,0,0.0,0.0,0,0,2018-01
2018-01-16,49,,,1,1,2018-01
2018-01-17,8,,,5,1,2018-01
2018-01-18,74,,,1,1,2018-01
2018-01-19,124,,,6,1,2018-01
2018-01-20,0,0.0,0.0,0,0,2018-01
2018-01-21,0,0.0,0.0,0,0,2018-01
2018-01-22,23,,,1,1,2018-01
2018-01-23,14,,,14,1,2018-01
2018-01-24,0,0.0,0.0,0,0,2018-01
2018-01-25,62,,,1,1,2018-01
2018-01-26,0,0.0,0.0,0,0,2018-01
2018-01-27,0,0.0,0.0,0,0,2018-01
2018-01-28,24,,,1,1,2018-01
2018-01-29,0,0.0,0.0,0,0,2018-01
2018-01-30,107,,,5,1,2018-01
2018-01-31,0,0.0,0.0,0,0,2018-01
2018-02-01,0,0.0,0.0,0,0,2018-02
2018-02-02,0,0.0,0.0,0,0,2018-02
2018-02-03,0,0.0,0.0,0,0,2018-02
2018-02-04,34,65.28,,1,1,2018-02
2018-02-05,23,865.3000000000001,,3,1,2018-02
2018-02-06,0,0.0,0.0,0,0,2018-02
2018-02-07,0,0.0,0.0,0,0,2018-02
2018-02-08,0,0.0,0.0,0,0,2018-02
2018-02-09,0,0.0,0.0,0,0,2018-02
2018-02-10,0,0.0,0.0,0,0,2018-02
2018-02-11,22,89.69,,1,1,2018-02
2018-02-12,10,28.77,,2,1,2018-02
2018-02-13,53,138.17999999999998,,2,1,2018-02
2018-02-14,101,386.05,,3,1,2018-02
2018-02-15,2,11.549999999999999,,2,1,2018-02
2018-02-16,0,0.0,0.0,0,0,2018-02
2018-02-17,0,0.0,0.0,0,0,2018-02
2018-02-18,39,178.84999999999997,,1,1,2018-02
2018-02-19,11,61.19,,1,1,2018-02
2018-02-20,0,0.0,0.0,0,0,2018-02
2018-02-21,120,427.7700000000001,,4,1,2018-02
2018-02-22,0,0.0,0.0,0,0,2018-02
2018-02-23,0,0.0,0.0,0,0,2018-02
2018-02-24,0,0.0,0.0,0,0,2018-02
2018-02-25,0,0.0,0.0,0,0,2018-02
2018-02-26,0,0.0,0.0,0,0,2018-02
2018-02-27,0,0.0,0.0,0,0,2018-02
2018-02-28,103,271.1600000000001,,5,1,2018-02
2018-03-01,67,297.84000000000003,,2,1,2018-03
2018-03-02,17,11.13,,2,1,2018-03
2018-03-03,0,0.0,0.0,0,0,2018-03
