date,purchases,revenue,total_views,unique_invoices,unique_streams,year_month
2017-11-01,0,0.0,0.0,0,0,2017-11
2017-11-02,0,0.0,0.0,0,0,2017-11
2017-11-03,0,0.0,0.0,0,0,2017-11
2017-11-04,0,0.0,0.0,0,0,2017-11
2017-11-05,0,0.0,0.0,0,0,2017-11
2017-11-06,0,0.0,0.0,0,0,2017-11
2017-11-07,0,0.0,0.0,0,0,2017-11
2017-11-08,0,0.0,0.0,0,0,2017-11
2017-11-09,0,0.0,0.0,0,0,2017-11
2017-11-10,0,0.0,0.0,0,0,2017-11
2017-11-11,0,0.0,0.0,0,0,2017-11
2017-11-12,0,0.0,0.0,0,0,2017-11
2017-11-13,0,0.0,0.0,0,0,2017-11
2017-11-14,0,0.0,0.0,0,0,2017-11
2017-11-15,0,0.0,0.0,0,0,2017-11
2017-11-16,0,0.0,0.0,0,0,2017-11
2017-11-17,0,0.0,0.0,0,0,2017-11
2017-11-18,0,0.0,0.0,0,0,2017-11
2017-11-19,0,0.0,0.0,0,0,2017-11
2017-11-20,0,0.0,0.0,0,0,2017-11
2017-11-21,0,0.0,0.0,0,0,2017-11
2017-11-22,0,0.0,0.0,0,0,2017-11
2017-11-23,0,0.0,0.0,0,0,2017-11
2017-11-24,0,0.0,0.0,0,0,2017-11
2017-11-25,0,0.0,0.0,0,0,2017-11
2017-11-26,0,0.0,0.0,0,0,2017-11
2017-11-27,0,0.0,0.0,0,0,2017-11
2017-11-28,41,134.25,343.0,3,38,2017-11
2017-11-29,29,120.02,240.0,2,28,2017-11
2017-11-30,31,98.15,121.0,2,30,2017-11
2017-12-01,32,,184.0,2,32,2017-12
2017-12-02,0,0.0,0.0,0,0,2017-12
2017-12-03,23,,227.0,1,23,2017-12
2017-12-04,6,,55.0,2,6,2017-12
2017-12-05,36,,141.0,3,33,2017-12
2017-12-06,0,0.0,0.0,0,0,2017-12
2017-12-07,8,,12.0,2,4,2017-12
2017-12-08,0,0.0,0.0,0,0,2017-12
2017-12-09,0,0.0,0.0,0,0,2017-12
2017-12-10,76,,645.0,3,71,2017-12
2017-12-11,0,0.0,0.0,0,0,2017-12
2017-12-12,0,0.0,0.0,0,0,2017-12
2017-12-13,0,0.0,0.0,0,0,2017-12
2017-12-14,0,0.0,0.0,0,0,2017-12
2017-12-15,0,0.0,0.0,0,0,2017-12
2017-12-16,0,0.0,0.0,0,0,2017-12
2017-12-17,46,,498.0,1,46,2017-12
2017-12-18,9,,58.0,1,9,2017-12
2017-12-19,0,0.0,0.0,0,0,2017-12
2017-12-20,0,0.0,0.0,0,0,2017-12
2017-12-21,0,0.0,0.0,0,0,2017-12
2017-12-22,0,0.0,0.0,0,0,2017-12
2017-12-23,0,0.0,0.0,0,0,2017-12
2017-12-24,0,0.0,0.0,0,0,2017-12
2017-12-25,0,0.0,0.0,0,0,2017-12
2017-12-26,0,0.0,0.0,0,0,2017-12
2017-12-27,0,0.0,0.0,0,0,2017-12
2017-12-28,0,0.0,0.0,0,0,2017-12
2017-12-29,0,0.0,0.0,0,0,2017-12
2017-12-30,0,0.0,0.0,0,0,2017-12
2017-12-31,0,0.0,0.0,0,0,2017-12
2018-01-01,0,0.0,0.0,0,0,2018-01
2018-01-02,0,0.0,0.0,0,0,2018-01
2018-01-03,0,0.0,0.0,0,0,2018-01
2018-01-04,38,,,1,1,2018-01
2018-01-05,125,,,3,1,2018-01
2018-01-06,0,0.0,0.0,0,0,2018-01
2018-01-07,0,0.0,0.0,0,0,2018-01
2018-01-08,0,0.0,0.0,0,0,2018-01
2018-01-09,0,0.0,0.0,0,0,2018-01
2018-01-10,44,,,3,1,2018-01
2018-01-11,0,0.0,0.0,0,0,2018-01
2018-01-12,0,0.0,0.0,0,0,2018-01
2018-01-13,0,0.0,0.0,0,0,2018-01
2018-01-14,0,0.0,0.0,0,0,2018-01
2018-01-15,0,0.0,0.0,0,0,2018-01
2018-01-16,75,,,3,1,2018-01
2018-01-17,0,0.0,0.0,0,0,2018-01
2018-01-18,0,0.0,0.0,0,0,2018-01
2018-01-19,0,0.0,0.0,0,0,2018-01
2018-01-20,0,0.0,0.0,0,0,2018-01
2018-01-21,0,0.0,0.0,0,0,2018-01
2018-01-22,0,0.0,0.0,0,0,2018-01
2018-01-23,29,,,2,1,2018-01
2018-01-24,0,0.0,0.0,0,0,2018-01
2018-01-25,0,0.0,0.0,0,0,2018-01
2018-01-26,0,0.0,0.0,0,0,2018-01
2018-01-27,0,0.0,0.0,0,0,2018-01
2018-01-28,25,,,1,1,2018-01
2018-01-29,0,0.0,0.0,0,0,2018-01
2018-01-30,0,0.0,0.0,0,0,2018-01
2018-01-31,29,,,1,1,2018-01
2018-02-01,1,51.0,,1,1,2018-02
2018-02-02,0,0.0,0.0,0,0,2018-02
2018-02-03,0,0.0,0.0,0,0,2018-02
2018-02-04,50,106.14999999999999,,1,1,2018-02
2018-02-05,0,0.0,0.0,0,0,2018-02
2018-02-06,159,384.03,,5,1,2018-02
2018-02-07,0,0.0,0.0,0,0,2018-02
2018-02-08,68,305.15000000000003,,5,1,2018-02
2018-02-09,18,112.49000000000001,,1,1,2018-02
2018-02-10,0,0.0,0.0,0,0,2018-02
2018-02-11,0,0.0,0.0,0,0,2018-02
2018-02-12,0,0.0,0.0,0,0,2018-02
2018-02-13,0,0.0,0.0,0,0,2018-02
2018-02-14,0,0.0,0.0,0,0,2018-02
2018-02-15,0,0.0,0.0,0,0,2018-02
2018-02-16,0,0.0,0.0,0,0,2018-02
2018-02-17,0,0.0,0.0,0,0,2018-02
2018-02-18,0,0.0,0.0,0,0,2018-02
2018-02-19,1,1.25,,1,1,2018-02
2018-02-20,57,223.27999999999997,,3,1,2018-02
2018-02-21,0,0.0,0.0,0,0,2018-02
2018-02-22,20,58.15,,1,1,2018-02
2018-02-23,0,0.0,0.0,0,0,2018-02
2018-02-24,0,0.0,0.0,0,0,2018-02
2018-02-25,0,0.0,0.0,0,0,2018-02
2018-02-26,37,92.28,,1,1,2018-02
2018-02-27,68,291.80999999999995,,3,1,2018-02
2018-02-28,21,68.92999999999999,,3,1,2018-02
2018-03-01,12,40.650000000000006,,1,1,2018-03
