date,purchases,revenue,total_views,unique_invoices,unique_streams,year_month
2017-11-01,0,0.0,0.0,0,0,2017-11
2017-11-02,0,0.0,0.0,0,0,2017-11
2017-11-03,0,0.0,0.0,0,0,2017-11
2017-11-04,0,0.0,0.0,0,0,2017-11
2017-11-05,0,0.0,0.0,0,0,2017-11
2017-11-06,0,0.0,0.0,0,0,2017-11
2017-11-07,0,0.0,0.0,0,0,2017-11
2017-11-08,0,0.0,0.0,0,0,2017-11
2017-11-09,0,0.0,0.0,0,0,2017-11
2017-11-10,0,0.0,0.0,0,0,2017-11
2017-11-11,0,0.0,0.0,0,0,2017-11
2017-11-12,0,0.0,0.0,0,0,2017-11
2017-11-13,0,0.0,0.0,0,0,2017-11
2017-11-14,0,0.0,0.0,0,0,2017-11
2017-11-15,0,0.0,0.0,0,0,2017-11
2017-11-16,0,0.0,0.0,0,0,2017-11
2017-11-17,0,0.0,0.0,0,0,2017-11
2017-11-18,0,0.0,0.0,0,0,2017-11
2017-11-19,0,0.0,0.0,0,0,2017-11
2017-11-20,0,0.0,0.0,0,0,2017-11
2017-11-21,0,0.0,0.0,0,0,2017-11
2017-11-22,0,0.0,0.0,0,0,2017-11
2017-11-23,0,0.0,0.0,0,0,2017-11
2017-11-24,0,0.0,0.0,0,0,2017-11
2017-11-25,0,0.0,0.0,0,0,2017-11
2017-11-26,0,0.0,0.0,0,0,2017-11
2017-11-27,0,0.0,0.0,0,0,2017-11
2017-11-28,44,139.02999999999997,367.0,1,44,2017-11
2017-11-29,2,4.6,5.0,1,2,2017-11
2017-11-30,3,12.850000000000001,2.0,1,3,2017-11
2017-12-01,0,0.0,0.0,0,0,2017-12
2017-12-02,0,0.0,0.0,0,0,2017-12
2017-12-03,13,,98.0,1,13,2017-12
2017-12-04,44,,444.0,3,39,2017-12
2017-12-05,0,0.0,0.0,0,0,2017-12
2017-12-06,44,,422.0,4,41,2017-12
2017-12-07,0,0.0,0.0,0,0,2017-12
2017-12-08,5,,13.0,2,5,2017-12
2017-12-09,0,0.0,0.0,0,0,2017-12
2017-12-10,4,,34.0,1,4,2017-12
2017-12-11,190,,1724.0,6,143,2017-12
2017-12-12,0,0.0,0.0,0,0,2017-12
2017-12-13,0,0.0,0.0,0,0,2017-12
2017-12-14,1,,1.0,1,1,2017-12
2017-12-15,23,,109.0,5,21,2017-12
2017-12-16,0,0.0,0.0,0,0,2017-12
2017-12-17,17,,134.0,1,17,2017-12
2017-12-18,25,,273.0,1,25,2017-12
2017-12-19,0,0.0,0.0,0,0,2017-12
2017-12-20,5,,10.0,1,5,2017-12
2017-12-21,0,0.0,0.0,0,0,2017-12
2017-12-22,0,0.0,0.0,0,0,2017-12
2017-12-23,0,0.0,0.0,0,0,2017-12
2017-12-24,0,0.0,0.0,0,0,2017-12
2017-12-25,0,0.0,0.0,0,0,2017-12
2017-12-26,0,0.0,0.0,0,0,2017-12
2017-12-27,0,0.0,0.0,0,0,2017-12
2017-12-28,0,0.0,0.0,0,0,2017-12
2017-12-29,0,0.0,0.0,0,0,2017-12
2017-12-30,0,0.0,0.0,0,0,2017-12
2017-12-31,0,0.0,0.0,0,0,2017-12
2018-01-01,3,,,1,1,2018-01
2018-01-02,0,0.0,0.0,0,0,2018-01
2018-01-03,0,0.0,0.0,0,0,2018-01
2018-01-04,14,,,2,1,2018-01
2018-01-05,0,0.0,0.0,0,0,2018-01
2018-01-06,0,0.0,0.0,0,0,2018-01
2018-01-07,0,0.0,0.0,0,0,2018-01
2018-01-08,34,,,4,1,2018-01
2018-01-09,89,,,4,1,2018-01
2018-01-10,40,,,2,1,2018-01
2018-01-11,47,,,3,1,2018-01
2018-01-12,8,,,2,1,2018-01
2018-01-13,0,0.0,0.0,0,0,2018-01
2018-01-14,0,0.0,0.0,0,0,2018-01
2018-01-15,2,,,1,1,2018-01
2018-01-16,2,,,1,1,2018-01
2018-01-17,0,0.0,0.0,0,0,2018-01
2018-01-18,0,0.0,0.0,0,0,2018-01
2018-01-19,131,,,2,1,2018-01
2018-01-20,0,0.0,0.0,0,0,2018-01
2018-01-21,40,,,1,1,2018-01
2018-01-22,11,,,1,1,2018-01
2018-01-23,86,,,12,1,2018-01
2018-01-24,0,0.0,0.0,0,0,2018-01
2018-01-25,9,,,3,1,2018-01
2018-01-26,0,0.0,0.0,0,0,2018-01
2018-01-27,0,0.0,0.0,0,0,2018-01
2018-01-28,99,,,1,1,2018-01
2018-01-29,39,,,2,1,2018-01
2018-01-30,1,,,1,1,2018-01
2018-01-31,4,,,2,1,2018-01
2018-02-01,17,48.38,,2,1,2018-02
2018-02-02,47,154.82999999999998,,2,1,2018-02
2018-02-03,0,0.0,0.0,0,0,2018-02
2018-02-04,7,43.1,,1,1,2018-02
2018-02-05,60,212.97000000000003,,3,1,2018-02
2018-02-06,90,277.80999999999995,,5,1,2018-02
2018-02-07,15,53.260000000000005,,1,1,2018-02
2018-02-08,17,41.8,,3,1,2018-02
2018-02-09,48,103.82,,3,1,2018-02
2018-02-10,0,0.0,0.0,0,0,2018-02
2018-02-11,0,0.0,0.0,0,0,2018-02
2018-02-12,50,161.72,,2,1,2018-02
2018-02-13,3,10.850000000000001,,1,1,2018-02
2018-02-14,2,1.7,,1,1,2018-02
2018-02-15,10,20.56,,1,1,2018-02
2018-02-16,0,0.0,0.0,0,0,2018-02
2018-02-17,0,0.0,0.0,0,0,2018-02
2018-02-18,0,0.0,0.0,0,0,2018-02
2018-02-19,1,3.75,,1,1,2018-02
2018-02-20,26,79.65,,7,1,2018-02
2018-02-21,0,0.0,0.0,0,0,2018-02
2018-02-22,10,70.58,,2,1,2018-02
2018-02-23,0,0.0,0.0,0,0,2018-02
2018-02-24,0,0.0,0.0,0,0,2018-02
2018-02-25,36,127.3,,2,1,2018-02
2018-02-26,0,0.0,0.0,0,0,2018-02
2018-02-27,17,71.4,,2,1,2018-02
2018-02-28,29,87.22000000000001,,3,1,2018-02
2018-03-01,0,0.0,0.0,0,0,2018-03
2018-03-02,31,127.99999999999999,,3,1,2018-03
2018-03-03,0,0.0,0.0,0,0,2018-03
2018-03-04,127,348.32,,2,1,2018-03
2018-03-05,30,105.01,,3,1,2018-03
