date,purchases,revenue,total_views,unique_invoices,unique_streams,year_month
2017-11-01,0,0.0,0.0,0,0,2017-11
2017-11-02,0,0.0,0.0,0,0,2017-11
2017-11-03,0,0.0,0.0,0,0,2017-11
2017-11-04,0,0.0,0.0,0,0,2017-11
2017-11-05,0,0.0,0.0,0,0,2017-11
2017-11-06,0,0.0,0.0,0,0,2017-11
2017-11-07,0,0.0,0.0,0,0,2017-11
2017-11-08,0,0.0,0.0,0,0,2017-11
2017-11-09,0,0.0,0.0,0,0,2017-11
2017-11-10,0,0.0,0.0,0,0,2017-11
2017-11-11,0,0.0,0.0,0,0,2017-11
2017-11-12,0,0.0,0.0,0,0,2017-11
2017-11-13,0,0.0,0.0,0,0,2017-11
2017-11-14,0,0.0,0.0,0,0,2017-11
2017-11-15,0,0.0,0.0,0,0,2017-11
2017-11-16,0,0.0,0.0,0,0,2017-11
2017-11-17,0,0.0,0.0,0,0,2017-11
2017-11-18,0,0.0,0.0,0,0,2017-11
2017-11-19,0,0.0,0.0,0,0,2017-11
2017-11-20,0,0.0,0.0,0,0,2017-11
2017-11-21,0,0.0,0.0,0,0,2017-11
2017-11-22,0,0.0,0.0,0,0,2017-11
2017-11-23,0,0.0,0.0,0,0,2017-11
2017-11-24,0,0.0,0.0,0,0,2017-11
2017-11-25,0,0.0,0.0,0,0,2017-11
2017-11-26,0,0.0,0.0,0,0,2017-11
2017-11-27,0,0.0,0.0,0,0,2017-11
2017-11-28,2953,13281.120000000003,12922.0,154,1291,2017-11
2017-11-29,3217,13222.970000000001,13650.0,125,1389,2017-11
2017-11-30,2911,12941.5,15243.0,144,1318,2017-11
2017-12-01,2443,,11652.0,100,1221,2017-12
2017-12-02,370,,3101.0,31,263,2017-12
2017-12-03,1888,,8096.0,87,964,2017-12
2017-12-04,2684,,11202.0,110,1301,2017-12
2017-12-05,2283,,11906.0,157,1151,2017-12
2017-12-06,2423,,10071.0,108,1292,2017-12
2017-12-07,2403,,11572.0,116,1192,2017-12
2017-12-08,1535,,7902.0,117,875,2017-12
2017-12-09,0,0.0,0.0,0,0,2017-12
2017-12-10,1678,,7685.0,71,935,2017-12
2017-12-11,3851,,14845.0,113,1568,2017-12
2017-12-12,1896,,10331.0,119,1000,2017-12
2017-12-13,3137,,13689.0,101,1409,2017-12
2017-12-14,1944,,9346.0,157,1062,2017-12
2017-12-15,1732,,6557.0,71,1011,2017-12
2017-12-16,0,0.0,0.0,0,0,2017-12
2017-12-17,573,,3381.0,37,418,2017-12
2017-12-18,576,,2473.0,49,427,2017-12
2017-12-19,2032,,5056.0,202,1136,2017-12
2017-12-20,328,,1089.0,29,286,2017-12
2017-12-21,0,0.0,0.0,0,0,2017-12
2017-12-22,0,0.0,0.0,0,0,2017-12
2017-12-23,0,0.0,0.0,0,0,2017-12
2017-12-24,0,0.0,0.0,0,0,2017-12
2017-12-25,0,0.0,0.0,0,0,2017-12
2017-12-26,0,0.0,0.0,0,0,2017-12
2017-12-27,0,0.0,0.0,0,0,2017-12
2017-12-28,0,0.0,0.0,0,0,2017-12
2017-12-29,0,0.0,0.0,0,0,2017-12
2017-12-30,0,0.0,0.0,0,0,2017-12
2017-12-31,0,0.0,0.0,0,0,2017-12
2018-01-01,663,,,68,1,2018-01
2018-01-02,938,,,46,1,2018-01
2018-01-03,294,,,14,1,2018-01
2018-01-04,846,,,78,1,2018-01
2018-01-05,533,,,41,1,2018-01
2018-01-06,0,0.0,0.0,0,0,2018-01
2018-01-07,676,,,36,1,2018-01
2018-01-08,2605,,,63,1,2018-01
2018-01-09,1017,,,60,1,2018-01
2018-01-10,1552,,,51,1,2018-01
2018-01-11,2141,,,83,1,2018-01
2018-01-12,554,,,45,1,2018-01
2018-01-13,0,0.0,0.0,0,0,2018-01
2018-01-14,1116,,,41,1,2018-01
2018-01-15,1879,,,48,1,2018-01
2018-01-16,1639,,,44,1,2018-01
2018-01-17,1207,,,74,1,2018-01
2018-01-18,1095,,,85,1,2018-01
2018-01-19,1186,,,66,1,2018-01
2018-01-20,0,0.0,0.0,0,0,2018-01
2018-01-21,1231,,,51,1,2018-01
2018-01-22,1650,,,69,1,2018-01
2018-01-23,1345,,,124,1,2018-01
2018-01-24,1443,,,82,1,2018-01
2018-01-25,1182,,,78,1,2018-01
2018-01-26,1207,,,81,1,2018-01
2018-01-27,0,0.0,0.0,0,0,2018-01
2018-01-28,1244,,,53,1,2018-01
2018-01-29,1258,,,71,1,2018-01
2018-01-30,1040,,,53,1,2018-01
2018-01-31,1442,,,143,1,2018-01
2018-02-01,1551,4645.72,,139,1,2018-02
2018-02-02,1030,4173.33,,145,1,2018-02
2018-02-03,0,0.0,0.0,0,0,2018-02
2018-02-04,742,2059.98,,31,1,2018-02
2018-02-05,1204,4642.32,,64,1,2018-02
2018-02-06,784,2815.79,,47,1,2018-02
2018-02-07,861,3983.1600000000003,,35,1,2018-02
2018-02-08,766,2480.8100000000004,,92,1,2018-02
2018-02-09,757,2792.81,,70,1,2018-02
2018-02-10,0,0.0,0.0,0,0,2018-02
2018-02-11,1157,3437.55,,49,1,2018-02
2018-02-12,710,2084.441,,46,1,2018-02
2018-02-13,1879,7831.599999999999,,105,1,2018-02
2018-02-14,945,2971.89,,58,1,2018-02
2018-02-15,1319,3905.0300000000007,,84,1,2018-02
2018-02-16,1634,7938.449999999999,,64,1,2018-02
2018-02-17,0,0.0,0.0,0,0,2018-02
2018-02-18,931,3171.4010000000003,,58,1,2018-02
2018-02-19,1070,3491.9900000000007,,79,1,2018-02
2018-02-20,1092,3843.9399999999996,,75,1,2018-02
2018-02-21,1201,4674.941000000001,,113,1,2018-02
2018-02-22,1531,5088.37,,88,1,2018-02
2018-02-23,999,7474.591,,61,1,2018-02
2018-02-24,0,0.0,0.0,0,0,2018-02
2018-02-25,1251,3800.09,,55,1,2018-02
2018-02-26,1162,4292.2,,93,1,2018-02
2018-02-27,1480,6257.639999999999,,129,1,2018-02
2018-02-28,1597,5528.219999999999,,71,1,2018-02
2018-03-01,1801,7018.01,,95,1,2018-03
2018-03-02,1133,4574.200000000001,,77,1,2018-03
2018-03-03,0,0.0,0.0,0,0,2018-03
